websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_width_centimeters,roll_length_yards,roll_length_meters,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Smoke Beige,200-2591,Smoke Beige,Master,200-2591,,"ripple, smoke, marble, beige",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2591.jpg,,60.00,Roll,1,1,Faux Finish,Beige,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Lisboa Blau,200-2665,Lisboa Blau,Master,200-2665,,"floral, flower",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2665.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2665_install.jpg,60.00,Roll,1,1,Botanical,blue flowers,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Ice,200-2701,Ice,Master,200-2701,,fan,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2701.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2701_install.jpg,60.00,Roll,1,1,Geometric,Offi-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Chartres,200-2795,Chartres,Master,200-2795,,"stained glass, flower, colored glass, cathedral",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2795.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2795_install.jpg,60.00,Roll,1,1,"Faux Finish, Botanical",Multi,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Embossed - Steps,200-2829,Embossed - Steps,Master,200-2829,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2829.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2829_install.jpg,60.00,Roll,1,1,Faux Finish,Off-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Opal,200-2866,Opal,Master,200-2866,,"subtle, frosted, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2866.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2866_install.jpg,60.00,Roll,1,1,Faux Finish,Off-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Louvre White,200-2910,Louvre White,Master,200-2910,,stripe,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2910.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2910_install.jpg,60.00,Roll,1,1,Stripes + Plaids,"White, Off-White",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Rice Paper,200-2911,Rice Paper,Master,200-2911,,"rice, paper",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2911.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2911_install.jpg,60.00,Roll,1,1,"Faux Finish, Textural","Off-White, White",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Transparent Black,200-2980,Transparent Black,Master,200-2980,,"transparent, solid color",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-2980.jpg,,60.00,Roll,1,1,Contemporary,Black,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Venetian Garden,200-3006,Venetian Garden,Master,200-3006,,"floral, flower, stained glass, colored glass",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3006.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3006_install.jpg,60.00,Roll,1,1,Botanical,Offi-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,bamboo weiss,200-3007,bamboo weiss,Master,200-3007,,floral bamboo,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3007.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3007_install.jpg,60.00,Roll,1,1,bamboo leaves,"White, Off-White",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Arts and Crafts,200-3012,Arts and Crafts,Master,200-3012,,"stained glass, colored glass",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3012.jpg,,60.00,Roll,1,1,"Faux Finish, Geometric","Yellow, Orange",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Embossed Damask,200-3063,Embossed Damask,Master,200-3063,,"floral, flower",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3063.jpg,,60.00,Roll,1,1,Botanical,Offi-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Minster,200-3202,Minster,Master,200-3202,,"floral, flower",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3202.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3202_install.jpg,60.00,Roll,1,1,Botanical,Offi-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Tulia,200-3231,Tulia,Master,200-3231,,"floral, flower, stained glass, colored glass",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3231.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-3231_install.jpg,60.00,Roll,1,1,Botanical,Offi-White,,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Frosted Crystal Clear,200-5288,Frosted Crystal Clear,Master,200-5288,,"transparent, Clear, matte",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-5288.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/200-5288_install.png,120.00,Roll,1,1,Contemporary,Translucent,,Window Vinyl,35.43,90,16.4,15,,,,,,,,,8,Self-adhesive,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Milky,216-0013,Milky,Master,216-0013,,"subtle, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0013.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0013_install.jpg,60.00,Roll,1,1,Textural,"Grey, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Sofeito,216-0017,Sofeito,Master,216-0017,,"subtle, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0017.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0017_install.jpg,60.00,Roll,1,1,pony skin textural,"Grey, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Amena,216-0018,Amena,Master,216-0018,,"leaves, branches",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0018.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0018_install.jpg,60.00,Roll,1,1,Botanical,"Neutral, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Findus,216-0019,Findus,Master,216-0019,,"subtle, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0019.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0019_install.jpg,60.00,Roll,1,1,Textural,"Grey, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Rosalina,216-0022,Rosalina,Master,216-0022,,"lace, floral",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0022.jpg,,60.00,Roll,1,1,"Botanical, lace","Neutral, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Venice,216-0024,Venice,Master,216-0024,,leaves flowers,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0024.jpg,,60.00,Roll,1,1,Botanical,"Neutral, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Murano,216-0025,Murano,Master,216-0025,," shapes, geometric",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0025.jpg,,60.00,Roll,1,1,Geometric,"Neutral, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Arcos,216-0033,Arcos,Master,216-0033,,leaves flowers,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0033.jpg,,60.00,Roll,1,1,Botanical,"Neutral, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Charis,216-0034,Charis,Master,216-0034,,"ogee, graphic",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0034.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0034_install.jpg,60.00,Roll,1,1,Geometric,"Neutral, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Miraflores,216-0035,Miraflores,Master,216-0035,,leaves flowers,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0035.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0035_install.jpg,60.00,Roll,1,1,Botanical,"Neutral, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Perth,216-0036,Perth,Master,216-0036,,"leaves, branches",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0036.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-0036_install.jpg,60.00,Roll,1,1,Stripes & Leaves,"Neutral, Transparent",,Window Vinyl,17.72,45,16.4,15,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Splinter,216-5011,Splinter,Master,216-5011,,"mosaic, stained glass",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-5011.jpg,,120.00,Roll,1,1,Geometric,"Grey, Neutral, Translucent",,Window Vinyl,35.43,90,16.4,15,,,,,,,,,8,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Snow,216-5012,Snow,Master,216-5012,,"varigated, subtle",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-5012.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-5012_install.jpg,120.00,Roll,1,1,Textural,"Neutral, Grey, Translucent",,Window Vinyl,35.43,90,16.4,15,,,,,,,,,8,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Milky,216-5013,Milky,Master,216-5013,,"subtle, privacy film",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/216-5013.jpg,,120.00,Roll,1,1,Textural,"Grey, Translucent",,Window Vinyl,35.43,90,16.4,15,,,,,,,,,8,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Hope,241-0001,Hope,Master,241-0001,,"stone, ovals, circles",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/241-0001.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/241-0001_install.jpg,60.00,Roll,1,1,Geometric,"Grey, Neutral, Translucent",,Window Vinyl,17.72,45,10.94,10,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
H,d-c-fix,2-3 weeks,Specialty,Window Film,Window Film,Sunrise,241-0004,Sunrise,Master,241-0004,,"check, checkers, checkered, mosaic",https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/241-0004.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/D-C-Fix_Window_Film/241-0004_install.jpg,60.00,Roll,1,1,Geometric,"Grey, Neutral, Translucent",,Window Vinyl,17.72,45,10.94,10,,,,,,,,,4,Static Cling,Removable - Reusable,,,,,,
