design_sku,design_name,variant_name,description
LL-351,Metallic Paper - Raw Garnet,Metallic Paper - Raw Garnet,"Featuring a fibrous paper texture, this Type II vinyl wallcovering is finished with a shiny garnet hue."
LL-352,Metallic Paper - Jet,Metallic Paper - Jet,"Featuring a fibrous paper texture, this Type II vinyl wallcovering is finished in a shiny black hue."
LL-353,Metal Papyrus - Storm,Metal Papyrus - Storm,This Type II vinyl wallcovering features a subtle texture and luxurious sheen.
LL-354,Metal Papyrus - Enstatite,Metal Papyrus - Enstatite,This Type II vinyl wallcovering features a subtle texture and luxurious sheen.
LL-355,Metal Papyrus - Malachite,Metal Papyrus - Malachite,This Type II vinyl wallcovering features a subtle texture and luxurious sheen.
LL-356,Metal Papyrus - Sodalite,Metal Papyrus - Sodalite,This Type II vinyl wallcovering features a subtle texture and luxurious sheen.
LL-357,Metal Papyrus - Mahogany,Metal Papyrus - Mahogany,This Type II vinyl wallcovering features a subtle texture and luxurious sheen.
LL-358,Metal Papyrus - Deep Purple,Metal Papyrus - Deep Purple,This Type II vinyl wallcovering features a subtle texture and luxurious sheen.
LL-359,Metal Papyrus - Obsidian,Metal Papyrus - Obsidian,This Type II vinyl wallcovering features a subtle texture and luxurious sheen.
LL-360,Sheet Metal,Sheet Metal,This Type II vinyl wallcovering features a faux metal finish.
