design_name,design_sku,variant_name,variant_sku,description
Earthly Delights | Copper Flecked Cork,ED122,Earthly Delights | Copper Flecked Cork,ED122,This authentic burled cork wallcovering features flecks of metallic.
Earthly Delights | Gold Flecked Cork,ED123,Earthly Delights | Gold Flecked Cork,ED123,This authentic burled cork wallcovering features flecks of metallic.
Earthly Delights | Copper Painted Cork,ED124,Earthly Delights | Copper Painted Cork,ED124,This authentic burled cork wallcovering boldly shines in a copper hue.
Earthly Delights | Pewter Chocolate Cork,ED125,Earthly Delights | Pewter Chocolate Cork,ED125,This chocolate colored cork wallcovering makes for a dramatic and warm decor statement.
Earthly Delights | Gold Chocolate Cork,ED126,Earthly Delights | Gold Chocolate Cork,ED126,This chocolate colored cork wallcovering makes for a dramatic and warm decor statement.
Earthly Delights | Copper Chocolate Cork,ED127,Earthly Delights | Copper Chocolate Cork,ED127,This chocolate colored cork wallcovering makes for a dramatic and warm decor statement.
Earthly Delights | White Gold Painted Cork,ED128,Earthly Delights | White Gold Painted Cork,ED128,This authentic burled cork wallcovering features a lovely white gold hue.
Earthly Delights | Silver Painted Cork,ED129,Earthly Delights | Silver Painted Cork,ED129,This authentic burled cork wallcovering features a shiny silver hue.
Earthly Delights | Iron Painted Cork,ED130,Earthly Delights | Iron Painted Cork,ED130,This authentic burled cork wallcovering has been painted in a metallic metal hue.
Earthly Delights | White Painted Cork,ED131,Earthly Delights | White Painted Cork,ED131,This authentic burled cork wallcovering is finished in a matte white with silver flecks giving it a luxe yet naturalistic feel.
Earthly Delights | Ivory Painted Cork,ED132,Earthly Delights | Ivory Painted Cork,ED132,This authentic burled cork wallcovering is finished in a silvery hue giving it a luxe yet naturalistic feel.
Earthly Delights | Platinum Painted Cork,ED133,Earthly Delights | Platinum Painted Cork,ED133,This authentic burled cork wallcovering is finished in a silver hue giving it a luxe yet naturalistic feel.
Earthly Delights | Tan Burled Cork,ED134,Earthly Delights | Tan Burled Cork,ED134,"Cork is a wonderful natural material option for wallcoverings, offering unique texture and coloring only found in nature. "
Earthly Delights | Ebony Flecked Cork,ED135,Earthly Delights | Ebony Flecked Cork,ED135,The natural beauty of this cork wallcovering is enhanced with the addition of shiny ebony flecks.
Earthly Delights | Rose Flecked Cork,ED136,Earthly Delights | Rose Flecked Cork,ED136,The natural beauty of this cork wallcovering is enhanced with the addition of shiny rose gold flecks.
Earthly Delights | Large Scale Grasscloth,ED137,Earthly Delights | Large Scale Grasscloth,ED137,This handmade grasscloth features large strands of natural material that make a bold yet organic statement.
Earthly Delights | Airy Grasscloth,ED138,Earthly Delights | Airy Grasscloth,ED138,The open weave structure of this grasscloth brings a light and airy feel to this wallcovering.
Earthly Delights | Blonde Grasscloth,ED139,Earthly Delights | Blonde Grasscloth,ED139,This beautiful grasscloth wallcovering features handwoven stands of blonde natural fibers.
Earthly Delights | Yellow Grasscloth,ED140,Earthly Delights | Yellow Grasscloth,ED140,This unique grasscloth wallcovering features handwoven stands of blonde natural fibers on a yellow ground.
Earthly Delights | Silver Grey Grasscloth,ED141,Earthly Delights | Silver Grey Grasscloth,ED141,"This beautiful grasscloth wallcovering features handwoven natural fibers in varying shades of grey, silver, and white."
Earthly Delights | Golden Yellow Grasscloth,ED142,Earthly Delights | Golden Yellow Grasscloth,ED142,This bright and sunny grasscloth wallcovering features handwoven natural fibers in a golden yellow hue.
Earthly Delights | Ivory Grasscloth,ED143,Earthly Delights | Ivory Grasscloth,ED143,This unique grasscloth wallcovering features handwoven natural fibers in ivory tones.
Earthly Delights | White Grasscloth,ED144,Earthly Delights | White Grasscloth,ED144,This refined grasscloth wallcovering features handwoven natural fibers in a creamy white hue.
Earthly Delights | Silver Crinkle Grasscloth,ED145,Earthly Delights | Silver Crinkle Grasscloth,ED145,This beautiful grasscloth wallcovering features handwoven beige fibers atop a textured silver ground.
Earthly Delights | Greystone Grasscloth,ED146,Earthly Delights | Greystone Grasscloth,ED146,This refined grasscloth wallcovering features handwoven natural beige fibers on a grey ground.
Earthly Delights | Orange Grasscloth,ED147,Earthly Delights | Orange Grasscloth,ED147,This eye-catching grasscloth wallcovering features handwoven natural grey and poppy orange fibers.
Earthly Delights | Cream Grasscloth,ED148,Earthly Delights | Cream Grasscloth,ED148,This subtle grasscloth wallcovering features handwoven natural fibers in a soft cream hue.
Earthly Delights | Black and Tan Grasscloth,ED149,Earthly Delights | Black and Tan Grasscloth,ED149,This subtle grasscloth wallcovering features handwoven natural fibers in a soft cream hue.
Earthly Delights | Cream Basketweave Grasscloth,ED150,Earthly Delights | Cream Basketweave Grasscloth,ED150,This simple yet impactuful grasscloth features natural blonde fibers woven into a basket weave structure.
Earthly Delights | Fallow Basketweave Grasscloth,ED151,Earthly Delights | Fallow Basketweave Grasscloth,ED151,This striking grasscloth features natural blonde and brown fibers woven into a basket weave structure
Earthly Delights | Reed Grasscloth,ED152,Earthly Delights | Reed Grasscloth,ED152,This beautifully constructed grasscloth features all natural reeds on a rice paper ground.
Earthly Delights | Isabelline Grasscloth,ED153,Earthly Delights | Isabelline Grasscloth,ED153,This monochromatic grasscloth features all natural materials in a creamy white hue.
Earthly Delights | Silver and Cream Grasscloth,ED154,Earthly Delights | Silver and Cream Grasscloth,ED154,"In this beautiful grasscloth, cream colored strands of natural material are loosely woven together allowing a slvery ground to shine through."
Earthly Delights | Beige Grasscloth,ED155,Earthly Delights | Beige Grasscloth,ED155,"This handmade, monochromatic grasscloth features all natural materials in a creamy white hue."
Earthly Delights | Khaki Grasscloth,ED156,Earthly Delights | Khaki Grasscloth,ED156,"This handmade, monochromatic grasscloth features all natural materials in a soft khaki hue."
Earthly Delights | Rustic Khaki Grasscloth,ED157,Earthly Delights | Rustic Khaki Grasscloth,ED157,This handmade grasscloth showcases the raw beauty of its all natural materials.
Earthly Delights | Russet Khaki Grasscloth,ED158,Earthly Delights | Russet Khaki Grasscloth,ED158,This monochromatic grasscloth features all natural materials in a warm russet hue.
Earthly Delights | Red and Black Grasscloth,ED159,Earthly Delights | Red and Black Grasscloth,ED159,"This bold, contemporary grasscloth features natural materials in undulating shades of red and orange atop a black ground."
Earthly Delights | Smoky Grasscloth,ED160,Earthly Delights | Smoky Grasscloth,ED160,This hand-crafted grasscloth features natural materials in shades of smoky charcoal and grey.
Earthly Delights | Prussian Blue Grasscloth,ED161,Earthly Delights | Prussian Blue Grasscloth,ED161,This handmade grasscloth features rich shades of prussian blue with natural blonde streaks. 
Earthly Delights | Sage Grasscloth,ED162,Earthly Delights | Sage Grasscloth,ED162,This beautifully constructed grasscloth features soothing tones of green.
Earthly Delights | Navy Grey Grasscloth,ED163,Earthly Delights | Navy Grey Grasscloth,ED163,Smoky grey strands of natural fibers pair beautifully with the navy ground of this grasscloth wallcovering.
Earthly Delights | Charcoal Grasscloth,ED164,Earthly Delights | Charcoal Grasscloth,ED164,This versatile grasscloth features natural fibers in varying tones of grey.
