design_sku,design_name,variant_sku,variant_name,description
ER145,Heavy Jute - Brown on Caramel,ER145,Heavy Jute - Brown on Caramel,"This handcrafted grasscloth wallcovering features tawny, taupe, and bronze tones."
ER146,Heavy Jute - White,ER146,Heavy Jute - White,"This handcrafted grasscloth wallcovering features white, ivory, and champagne tones."
ER147,Bamboo - Red,ER147,Bamboo - Red,This handcrafted grasscloth wallcovering features bold ruby red tones.
ER148,Paper Weave - Cream,ER148,Paper Weave - Cream,This handcrafted natural wallcovering features cream fibers with blush accents.
ER149,Paper Weave - Beige,ER149,Paper Weave - Beige,This handcrafted natural wallcovering features beige fibers in a balanced weave.
ER150,Paper Weave - Brown and Black on Ivory,ER150,Paper Weave - Brown and Black on Ivory,This handcrafted natural wallcovering features brown fibers in a slightly open weave.
ER151,Paper Weave - Salt and Pepper on Gold,ER151,Paper Weave - Salt and Pepper on Gold,This handcrafted natural wallcovering features off-white fibers in an open weave allowing the gold ground to peek through.
ER152,Paper Weave - Burnt Red on Gold,ER152,Paper Weave - Burnt Red on Gold,This handcrafted natural wallcovering features woven pink fibers atop a shiny gold ground which subtly shines through the gaps.
ER153,Paper Weave - Grey on Gold,ER153,Paper Weave - Grey on Gold,This handcrafted natural wallcovering features soft grey fibers in an open weave allowing the shiny gold ground to peek through.
ER154,Paper Weave - Beige on Gold,ER154,Paper Weave - Beige on Gold,This handcrafted natural wallcovering features soft brown fibers in an open weave allowing the shiny gold ground to peek through.
ER155,Paper Weave - Black and Olive on Silver,ER155,Paper Weave - Black and Olive on Silver,This handcrafted natural wallcovering features black and olive fibers in an open weave allowing the silver ground to shine through.
ER156,Paper Weave - Black and Grey on Gold,ER156,Paper Weave - Black and Grey on Gold,This handcrafted natural wallcovering features charcoal fibers in an open weave allowing the gold ground to shine through.
ER157,Paper Weave - Black and Grey on Silver,ER157,Paper Weave - Black and Grey on Silver,This handcrafted natural wallcovering features charcoal fibers in an open weave allowing the silver ground to shine through.
ER158,Paper Weave - Brown Striped on Gold,ER158,Paper Weave - Brown Striped on Gold,This handcrafted natural wallcovering features brown fibers atop a shiny gold ground.
ER159,Paper Weave - Brown Striped on Silver,ER159,Paper Weave - Brown Striped on Silver,This handcrafted natural wallcovering features brown fibers atop a shiny silver ground.
ER160,Paper Weave - Brown and Black on Gold,ER160,Paper Weave - Brown and Black on Gold,This handcrafted natural wallcovering features brown fibers in an open weave allowing the gold ground to shine through.
ER161,Paper Weave - Brown and Black on Silver,ER161,Paper Weave - Brown and Black on Silver,This handcrafted natural wallcovering features brown fibers in an open weave allowing the silver ground to shine through.
ER162,Paper Weave - Beige and Cream on Gold,ER162,Paper Weave - Beige and Cream on Gold,This handcrafted natural wallcovering features beige and cream fibers in an open weave allowing the gold ground to shine through.
ER163,Paper Weave - Light Tan,ER163,Paper Weave - Light Tan,This textural wallcovering features natural fibers woven together in a twill structure.
ER164,Paper Weave - Warm Tan,ER164,Paper Weave - Warm Tan,This textural wallcovering features natural fibers handwoven together in a simple and satisfying grasscloth.
ER165,Paper Weave - Cool Tan,ER165,Paper Weave - Cool Tan,This textural wallcovering features natural fibers handwoven together in a simple and satisfying grasscloth.
ER166,Paper Weave - Light Grey on Black,ER166,Paper Weave - Light Grey on Black,This textural wallcovering features natural fibers handwoven together in a simple and satisfying grasscloth.
